Plate	Repeat	Well	Type	Time	Absorbance @ 600 (A)	Time	GFP (Counts)	Time	mCherry (Counts)
1	3	E01	M	01:03:35.67	0.037	01:04:31.03	458	01:05:28.23	8021
1	3	E02	M	01:03:35.99	0.038	01:04:31.39	660	01:05:28.59	8493
1	3	E03	M	01:03:36.31	0.041	01:04:31.75	480	01:05:28.95	8117
1	3	E04	M	01:03:36.63	0.041	01:04:32.11	512	01:05:29.31	7534
1	3	E05	M	01:03:36.95	0.035	01:04:32.47	452	01:05:29.67	8283
1	3	E06	M	01:03:37.27	0.035	01:04:32.83	444	01:05:30.03	8103
1	3	E07	M	01:03:37.59	0.036	01:04:33.19	508	01:05:30.39	7837
1	3	E08	M	01:03:37.91	0.035	01:04:33.55	478	01:05:30.75	8553
1	3	E09	M	01:03:38.23	0.036	01:04:33.91	476	01:05:31.11	8661
1	3	E10	M	01:03:38.55	0.038	01:04:34.27	466	01:05:31.47	8613
1	3	E11	M	01:03:38.87	0.036	01:04:34.64	514	01:05:31.84	8567
1	3	E12	M	01:03:39.19	0.037	01:04:35.00	600	01:05:32.20	8259
1	3	F01	M	01:03:41.95	0.039	01:04:37.80	504	01:05:35.00	8533
1	3	F02	M	01:03:42.27	0.037	01:04:38.16	412	01:05:35.36	7514
1	3	F03	M	01:03:42.59	0.037	01:04:38.52	446	01:05:35.72	7757
1	3	F04	M	01:03:42.91	0.043	01:04:38.88	508	01:05:36.08	7178
1	3	F05	M	01:03:43.23	0.035	01:04:39.24	456	01:05:36.44	7883
1	3	F06	M	01:03:43.55	0.035	01:04:39.60	444	01:05:36.81	8067
1	3	F07	M	01:03:43.87	0.035	01:04:39.96	484	01:05:37.17	8289
1	3	F08	M	01:03:44.19	0.037	01:04:40.32	444	01:05:37.53	8203
1	3	F09	M	01:03:44.51	0.035	01:04:40.68	428	01:05:37.89	8395
1	3	F10	M	01:03:44.83	0.046	01:04:41.04	726	01:05:38.25	8359
1	3	F11	M	01:03:45.15	0.035	01:04:41.40	592	01:05:38.61	8299
1	3	F12	M	01:03:45.47	0.037	01:04:41.77	492	01:05:38.97	8946
1	3	G01	Bl	01:03:48.23	0.036	01:04:44.57	394	01:05:41.78	7809
1	3	G02	Bl	01:03:48.55	0.036	01:04:44.93	384	01:05:42.14	7973
1	3	G03	Bl	01:03:48.87	0.036	01:04:45.29	366	01:05:42.50	7734
1	4	A01	M	01:34:25.11	0.051	01:35:18.50	412	01:36:15.70	7258
1	4	A02	M	01:34:25.43	0.047	01:35:18.87	478	01:36:16.06	7638
1	4	A03	M	01:34:25.75	0.046	01:35:19.23	434	01:36:16.42	7789
